date,us_stock,uk_stock,us_short_yield,us_long_yield,uk_short_yield,uk_long_yield,gbpusd
2003-12-31,1111.9200439453125,66.67201,0.9,4.27,3.7778,4.896,1.7888127565383911
2004-01-31,1131.1300048828125,67.79669,0.88,4.16,3.7159,4.7875,1.8252837657928467
2004-02-29,1144.93994140625,67.37318,0.93,3.99,4.0873,4.8056,1.8695082664489746
2004-03-31,1126.2099609375,67.42761,0.94,3.86,3.904,4.7088,1.843385934829712
2004-04-30,1107.300048828125,68.43538,0.94,4.53,3.8914,4.957,1.7785998582839966
2004-05-31,1120.6800537109375,67.53452,1.02,4.66,4.203,5.1118,1.8326095342636108
2004-06-30,1140.8399658203125,67.90693,1.27,4.62,4.3628,5.2,1.8202005624771118
2004-07-31,1101.719970703125,66.15358,1.33,4.5,4.4623,5.1083,1.822090983390808
2004-08-31,1104.239990234375,66.53008,1.48,4.13,4.63,5.0071,1.8024837970733643
2004-09-30,1114.5799560546875,69.15671,1.65,4.14,4.7314,4.9109,1.8128092288970947
2004-10-31,1130.199951171875,70.43696,1.76,4.05,4.7297,4.7683,1.8381000757217407
2004-11-30,1173.8199462890625,71.93784,2.07,4.36,4.7408,4.6903,1.9095995426177979
2004-12-31,1211.9200439453125,72.03959,2.19,4.24,4.7618,4.5316,1.9197911024093628
2005-01-31,1181.27001953125,73.1776,2.33,4.14,4.7599,4.5419,1.8841972351074219
2005-02-28,1203.5999755859375,75.80225,2.54,4.36,4.816,4.5884,1.9192017316818237
2005-03-31,1180.5899658203125,75.18692,2.74,4.5,4.7618,4.796,1.889501929283142
2005-04-30,1156.8499755859375,74.11638,2.78,4.21,4.8125,4.6218,1.9094902276992798
2005-05-31,1191.5,74.69122,2.84,4.0,4.7079,4.4173,1.8176862001419067
2005-06-30,1191.3299560546875,76.57999,2.97,3.94,4.7935,4.2847,1.7902858257293701
2005-07-31,1234.1800537109375,79.2753,3.22,4.28,4.7546,4.3011,1.7582108974456787
2005-08-31,1220.3299560546875,80.47882,3.44,4.02,4.5775,4.3249,1.8033939599990845
2005-09-30,1228.81005859375,81.77,3.42,4.34,4.5499,4.2109,1.7646021842956543
2005-10-31,1207.010009765625,80.25925,3.71,4.57,4.4246,4.3482,1.7687844038009644
2005-11-30,1249.47998046875,82.76517,3.88,4.49,4.5458,4.3129,1.7309123277664185
2005-12-31,1248.2900390625,84.18204,3.89,4.39,4.6381,4.2186,1.7206965684890747
2006-01-31,1280.0799560546875,86.53724,4.24,4.53,4.4829,4.0752,1.7785998582839966
2006-02-28,1280.6600341796875,88.05025,4.43,4.55,4.4255,4.1543,1.7542012929916382
2006-03-31,1294.8699951171875,90.05289,4.51,4.86,4.5402,4.3177,1.7377101182937622
2006-04-30,1310.6099853515625,91.76788,4.6,5.07,4.4928,4.5177,1.8259837627410889
2006-05-31,1270.0899658203125,88.72609,4.72,5.12,4.5093,4.6488,1.8716076612472534
2006-06-30,1270.199951171875,85.94738,4.79,5.15,4.5712,4.6645,1.8490097522735596
2006-07-31,1276.6600341796875,88.45876,4.95,4.99,4.5459,4.656,1.8682161569595337
2006-08-31,1303.8199462890625,89.12746,4.96,4.74,4.8026,4.6535,1.9030944108963013
2006-09-30,1335.8499755859375,89.40541,4.81,4.64,4.7892,4.5522,1.8717128038406372
2006-10-31,1377.93994140625,92.51802,4.92,4.61,4.8255,4.6155,1.9082876443862915
2006-11-30,1400.6300048828125,93.52457,4.94,4.46,4.9968,4.5452,1.9664137363433838
2006-12-31,1418.300048828125,93.60903,4.85,4.71,5.0844,4.6195,1.9592092037200928
2007-01-31,1438.239990234375,94.57525,4.98,4.83,5.2231,4.8694,1.9634021520614624
2007-02-28,1406.8199462890625,96.48055,5.03,4.56,5.3183,4.896,1.9640191793441772
2007-03-31,1420.8599853515625,94.10018,4.94,4.65,5.3032,4.8194,1.9525147676467896
2007-04-30,1482.3699951171875,97.51363,4.87,4.63,5.2915,5.0439,2.0
2007-05-31,1530.6199951171875,99.64319,4.73,4.9,5.4778,5.1458,1.9798059463500977
2007-06-30,1503.3499755859375,100.0481,4.61,5.03,5.6093,5.4321,2.008314371109009
2007-07-31,1455.27001953125,99.50095,4.82,4.78,5.8434,5.4084,2.029385566711426
2007-08-31,1473.989990234375,93.69653,4.2,4.54,5.9127,5.1499,2.017186403274536
2007-09-30,1526.75,96.21412,3.89,4.59,5.8246,4.9928,2.046203374862671
2007-10-31,1549.3800048828125,100.0681,3.9,4.48,5.7751,4.9576,2.079780340194702
2007-11-30,1481.1400146484375,95.91085,3.27,3.97,5.7892,4.7263,2.0566821098327637
2007-12-31,1468.3599853515625,97.58793,3.0,4.04,5.5964,4.6937,1.9866102933883667
2008-01-31,1378.550048828125,91.73453,2.75,3.67,5.5049,4.4925,1.9906044006347656
2008-02-29,1330.6300048828125,89.61816,2.12,3.53,5.3322,4.6234,1.9866102933883667
2008-03-31,1322.699951171875,85.81046,1.26,3.45,5.3078,4.445,1.9842058420181274
2008-04-30,1385.5899658203125,90.88325,1.29,3.77,5.08,4.6432,1.9877949953079224
2008-05-31,1400.3800048828125,93.77007,1.73,4.06,5.0314,4.8683,1.982789397239685
2008-06-30,1280.0,87.6187,1.86,3.99,5.0326,5.2103,1.992984652519226
2008-07-31,1267.3800048828125,81.5069,1.63,3.99,5.0099,5.0494,1.9831039905548096
2008-08-31,1282.8299560546875,82.90771,1.72,3.83,4.997,4.7267,1.8217922449111938
2008-09-30,1166.3599853515625,79.33064,1.13,3.85,4.8925,4.5701,1.7820864915847778
2008-10-31,968.75,64.93079,0.67,4.01,4.4115,4.5789,1.607303500175476
2008-11-30,896.239990234375,64.0498,0.19,2.93,2.7846,4.2571,1.5385088920593262
2008-12-31,903.25,64.68772,0.03,2.25,1.6525,3.6238,1.4656095504760742
2009-01-31,825.8800048828125,65.03269,0.13,2.87,1.326,3.6699,1.456303596496582
2009-02-28,735.0900268554688,61.77861,0.3,3.02,0.8973,3.6899,1.4272053241729736
2009-03-31,797.8699951171875,57.01818,0.21,2.71,0.5224,3.2497,1.434493899345398
2009-04-30,872.8099975585938,61.27018,0.16,3.16,0.4099,3.4072,1.4788086414337158
2009-05-31,919.1400146484375,66.49567,0.18,3.47,0.4133,3.6206,1.6186991930007935
2009-06-30,919.3200073242188,65.94963,0.18,3.53,0.4158,3.7221,1.6466867923736572
2009-07-31,987.47998046875,66.33266,0.18,3.52,0.4173,3.8238,1.670508861541748
2009-08-31,1020.6199951171875,72.22261,0.17,3.4,0.422,3.7142,1.629195213317871
2009-09-30,1057.0799560546875,76.31963,0.12,3.31,0.4302,3.6566,1.6002048254013062
2009-10-31,1036.18994140625,78.26147,0.07,3.41,0.4472,3.5699,1.6447908878326416
2009-11-30,1095.6300048828125,79.49123,0.05,3.21,0.4509,3.7592,1.6457926034927368
2009-12-31,1115.0999755859375,80.63334,0.05,3.85,0.4492,3.8871,1.6182016134262085
2010-01-31,1073.8699951171875,82.06037,0.06,3.63,0.4545,4.0025,1.5984909534454346
2010-02-28,1104.489990234375,79.33413,0.11,3.61,0.4672,4.0624,1.523902416229248
2010-03-31,1169.4300537109375,85.23425,0.15,3.84,0.4713,4.0915,1.5183724164962769
2010-04-30,1186.68994140625,86.77956,0.16,3.69,0.4726,4.1007,1.5300110578536987
2010-05-31,1089.4100341796875,79.41071,0.16,3.31,0.4842,3.7772,1.4522007703781128
2010-06-30,1030.7099609375,77.93181,0.12,2.97,0.487,3.6007,1.4944332838058472
2010-07-31,1101.5999755859375,78.21916,0.16,2.94,0.49,3.5087,1.5687997341156006
2010-08-31,1049.3299560546875,80.00254,0.16,2.47,0.491,3.233,1.54659903049469
2010-09-30,1141.199951171875,83.62054,0.15,2.53,0.501,3.1271,1.57957923412323
2010-10-31,1183.260009765625,86.2373,0.13,2.63,0.5083,3.0685,1.5774115324020386
2010-11-30,1180.550048828125,86.95272,0.14,2.81,0.5086,3.311,1.5556211471557617
2010-12-31,1257.6400146484375,89.17023,0.14,3.3,0.5173,3.6098,1.5437101125717163
2011-01-31,1286.1199951171875,90.49825,0.15,3.42,0.5059,3.7273,1.5829297304153442
2011-02-28,1327.219970703125,91.29873,0.13,3.42,0.5084,3.8799,1.610046625137329
2011-03-31,1325.8299560546875,88.81116,0.1,3.47,0.5154,3.7386,1.6074068546295166
2011-04-30,1363.6099853515625,91.15983,0.06,3.32,0.524,3.7619,1.665001630783081
2011-05-31,1345.199951171875,90.13159,0.04,3.05,0.5217,3.5053,1.6487774848937988
2011-06-30,1320.6400146484375,87.82962,0.04,3.18,0.5311,3.4144,1.6075878143310547
2011-07-31,1292.280029296875,89.6133,0.04,2.82,0.5228,3.3137,1.6368486881256104
2011-08-31,1218.8900146484375,79.83832,0.02,2.23,0.538,2.7833,1.6307626962661743
2011-09-30,1131.4200439453125,79.28227,0.01,1.92,0.5486,2.504,1.5599408149719238
2011-10-31,1253.300048828125,82.01352,0.02,2.17,0.5358,2.529,1.6111880540847778
2011-11-30,1246.9599609375,81.92102,0.01,2.08,0.5347,2.2917,1.5597946643829346
2011-12-31,1257.5999755859375,83.14214,0.01,1.89,0.5201,2.1828,1.5415922403335571
2012-01-31,1312.4100341796875,86.26339,0.03,1.83,0.5157,2.1104,1.570845127105713
2012-02-29,1365.6800537109375,89.36356,0.09,1.98,0.4993,2.2191,1.5922045707702637
2012-03-31,1408.469970703125,89.09153,0.08,2.23,0.49,2.323,1.595914363861084
2012-04-30,1397.9100341796875,86.81686,0.08,1.95,0.4861,2.2117,1.6281341314315796
2012-05-31,1310.3299560546875,82.94213,0.09,1.59,0.4848,1.9416,1.5482993125915527
2012-06-30,1362.1600341796875,82.78458,0.09,1.67,0.4859,1.7698,1.5518311262130737
2012-07-31,1379.3199462890625,85.46852,0.1,1.51,0.4646,1.6523,1.5713387727737427
2012-08-31,1406.5799560546875,87.88861,0.1,1.57,0.45,1.6735,1.5790305137634277
2012-09-30,1440.6700439453125,88.03069,0.11,1.65,0.4271,1.7222,1.6232975721359253
2012-10-31,1412.1600341796875,88.43055,0.1,1.72,0.4334,1.7721,1.6074585914611816
2012-11-30,1416.1800537109375,87.75896,0.09,1.62,0.4256,1.7741,1.6041065454483032
2012-12-31,1426.18994140625,89.8544,0.07,1.78,0.4309,1.8467,1.616292119026184
2013-01-31,1498.1099853515625,93.26134,0.07,2.02,0.4097,2.0795,1.579778790473938
