date,AEROSPACE,CHEVRON,JP MORGAN
31/01/1973,2,3.37,5.79
28/02/1973,2.09,3.93,5.69
30/03/1973,2.17,3.56,5.98
30/04/1973,2.36,3.5,6.24
31/05/1973,2.35,3.99,6.56
29/06/1973,2.44,3.9,6.64
31/07/1973,2.23,4.15,6.16
31/08/1973,2.71,4.6,6.98
28/09/1973,2.54,4.33,5.95
31/10/1973,2.45,4.33,6.16
30/11/1973,2.53,5.22,6.84
31/12/1973,2.54,4.29,6.94
31/01/1974,2.67,5.44,6.36
28/02/1974,2.83,5.96,6.19
29/03/1974,2.95,5.81,6.55
30/04/1974,3.14,6.96,7.2
31/05/1974,3.32,7.48,7.89
28/06/1974,3.25,7.48,8.86
31/07/1974,3.72,7.77,8.6
30/08/1974,4.22,8.16,9.93
30/09/1974,5.12,9.09,10.11
31/10/1974,4.18,8,8.23
29/11/1974,4.31,9.47,8.38
31/12/1974,4.79,8.99,9.89
31/01/1975,4.14,7.69,7.58
28/02/1975,3.63,7.88,7.94
31/03/1975,3.48,8.25,8.03
30/04/1975,3.48,8.04,7.92
30/05/1975,3.53,6.72,8.08
30/06/1975,3.04,6.3,7.02
31/07/1975,3.39,6.56,7.31
29/08/1975,3.46,6.72,8.66
30/09/1975,3.64,6.81,9.72
31/10/1975,3.32,6.69,10.24
28/11/1975,3.32,6.96,9.37
31/12/1975,3.47,6.81,9.52
30/01/1976,2.86,6.35,8.06
27/02/1976,3,6.67,8.23
31/03/1976,3.05,5.88,7.63
30/04/1976,2.98,6.07,8
31/05/1976,3.14,5.93,7.73
30/06/1976,2.8,5.79,7.07
30/07/1976,2.94,5.81,6.96
31/08/1976,3.02,5.87,6.98
30/09/1976,3.33,5.87,7.34
29/10/1976,3.37,5.97,7.5
30/11/1976,3.56,6.07,7.73
31/12/1976,3.24,5.37,6.72
31/01/1977,3.4,5.15,6.7
28/02/1977,3.56,5.48,7.05
31/03/1977,3.66,5.62,7.13
29/04/1977,3.34,5.93,6.74
31/05/1977,4.06,5.73,6.74
30/06/1977,3.89,5.75,6.52
29/07/1977,4.05,5.55,6.59
31/08/1977,4.12,5.96,6.96
30/09/1977,4.29,5.75,6.92
31/10/1977,4.39,6.19,7.57
30/11/1977,4.39,6,6.72
30/12/1977,4.41,6.17,7.06
31/01/1978,4.81,6.53,7.69
28/02/1978,4.92,6.36,7.97
31/03/1978,4.72,6.21,7.82
28/04/1978,4.21,5.99,6.98
31/05/1978,4.92,6.21,7.29
30/06/1978,5.15,6.52,7.69
31/07/1978,4.85,6.19,7.32
31/08/1978,4.79,5.91,7.45
29/09/1978,4.92,5.55,7.19
31/10/1978,5.47,5.98,7.74
30/11/1978,5.52,5.71,8.54
29/12/1978,5.52,5.55,8.45
31/01/1979,5.39,5.5,8.21
28/02/1979,5.65,6.27,8.54
30/03/1979,5.42,5.88,8.48
30/04/1979,5.29,5.69,8.26
31/05/1979,5.7,6.2,8.26
29/06/1979,5.6,5.77,7.85
31/07/1979,5.41,5.41,7.37
31/08/1979,5.26,5.01,7.46
28/09/1979,5.52,4.87,8.05
31/10/1979,5.79,5.14,8.81
30/11/1979,6.07,5.65,8.93
31/12/1979,5.53,5.68,8.63
31/01/1980,5.09,5.14,8.21
29/02/1980,5.57,4.03,9.25
31/03/1980,5.82,4.89,9.98
30/04/1980,5.89,4.52,9.53
30/05/1980,6.06,4.92,8.89
30/06/1980,5.83,4.71,8.7
31/07/1980,5.33,4.83,8.31
29/08/1980,5.5,4.91,8.49
30/09/1980,5.7,4.75,8.78
31/10/1980,5.54,4.74,8.46
28/11/1980,4.85,3.48,8.84
31/12/1980,4.9,4.02,8.16
30/01/1981,4.9,4.38,7.59
27/02/1981,4.49,4.37,7.6
31/03/1981,4.48,4.88,7.23
30/04/1981,4.57,4.83,7.05
29/05/1981,4.87,5.3,6.68
30/06/1981,5.17,5.33,6.65
31/07/1981,5.25,5.65,7.18
31/08/1981,5.73,5.73,7.44
30/09/1981,5.83,6.27,7.78
30/10/1981,5.9,5.61,6.87
30/11/1981,5.3,5.33,6.9
31/12/1981,5.58,5.6,7.05
29/01/1982,5.12,6.58,7.66
26/02/1982,5.09,7.56,7.82
31/03/1982,5.05,7.84,8.55
30/04/1982,4.99,8.03,8.38
31/05/1982,5.49,7.25,9
30/06/1982,5.34,8.35,9.37
30/07/1982,5.17,9.5,10.38
31/08/1982,4.52,8.65,9.07
30/09/1982,4.55,8.38,7.97
29/10/1982,3.96,7.93,7.05
30/11/1982,3.68,7.9,6.84
31/12/1982,3.58,7.5,7.11
31/01/1983,3.29,7.25,6.62
28/02/1983,3.13,6.67,7.26
31/03/1983,3.24,6.25,6.73
29/04/1983,3.04,5.89,5.89
31/05/1983,3.29,6.51,6.17
30/06/1983,3.45,6.11,6.82
29/07/1983,3.81,6.67,6.8
31/08/1983,3.72,6.51,6.88
30/09/1983,3.6,6.74,7.83
31/10/1983,3.67,6.81,7.98
30/11/1983,3.5,6.93,6.91
30/12/1983,3.41,6.93,7.36
31/01/1984,3.68,6.55,6.42
29/02/1984,3.85,6.49,7.34
30/03/1984,3.64,6.42,7.8
30/04/1984,3.6,6.06,7.46
31/05/1984,3.76,6.44,9.78
29/06/1984,3.81,6.86,9.83
31/07/1984,3.81,7.62,8.91
31/08/1984,3.53,6.62,8.58
28/09/1984,3.59,6.6,7.74
31/10/1984,3.48,7.33,7.87
30/11/1984,3.97,7.25,7.35
31/12/1984,3.89,7.68,6.84
31/01/1985,3.44,7.01,6.29
28/02/1985,3.46,6.93,6.3
29/03/1985,3.72,6.88,6.61
30/04/1985,3.72,6.46,6.55
31/05/1985,3.63,6.71,5.99
28/06/1985,3.56,6.42,6.01
31/07/1985,3.43,6.53,6.07
30/08/1985,3.61,6.38,6.2
30/09/1985,3.83,6.49,7.4
31/10/1985,3.82,6.13,6.38
29/11/1985,3.54,6.27,5.98
31/12/1985,3.19,6.3,5.47
31/01/1986,3.27,6.58,5.6
28/02/1986,2.99,6.53,5.42
31/03/1986,2.96,6.58,4.76
30/04/1986,2.97,6.23,4.88
30/05/1986,2.91,6,4.87
30/06/1986,2.86,6.25,5.07
31/07/1986,3.18,6.64,5.93
29/08/1986,2.95,5.42,5.33
30/09/1986,3.23,5.45,5.99
31/10/1986,3.04,5.38,5.93
28/11/1986,3.04,5.07,5.84
31/12/1986,2.93,5.29,6.15
30/01/1987,2.51,4.53,5.55
27/02/1987,2.44,4.85,5.85
31/03/1987,2.4,4.28,6.22
30/04/1987,2.43,4.14,6.4
29/05/1987,2.54,4.11,6.48
30/06/1987,2.43,3.87,6.48
31/07/1987,2.23,3.97,6.84
31/08/1987,2.11,4.1,6.74
30/09/1987,2.15,4.45,7.13
30/10/1987,2.79,5.41,10.07
30/11/1987,3.3,6.58,10.56
31/12/1987,3.17,6.06,12.73
29/01/1988,3.1,5.35,12.65
29/02/1988,3.08,5.42,10.88
31/03/1988,3.47,5.16,12.73
29/04/1988,3.47,5.4,11.05
31/05/1988,3.33,5.28,9.42
30/06/1988,3.19,5.73,8.88
29/07/1988,3.27,5.36,8.67
31/08/1988,3.47,5.84,8.5
30/09/1988,3.23,5.96,8.5
31/10/1988,3.21,5.55,8.53
30/11/1988,3.64,5.68,8.15
30/12/1988,3.66,5.68,8.77
31/01/1989,3.39,5.64,8.37
28/02/1989,3.58,5.77,8.7
31/03/1989,3.69,5.31,7.53
28/04/1989,3.36,5.16,7.56
31/05/1989,3,5.07,7.69
30/06/1989,3.18,5.19,7.58
31/07/1989,2.8,5.14,7
31/08/1989,2.85,4.98,7.13
29/09/1989,2.9,4.59,6.65
31/10/1989,2.96,4.1,8.09
30/11/1989,3.03,4.08,8.57
29/12/1989,2.91,4.13,9.1
31/01/1990,3.02,4.19,10.56
28/02/1990,3.04,4.17,10.61
30/03/1990,2.93,4.15,11.64
30/04/1990,2.94,4.25,11.64
31/05/1990,2.73,4,9.94
29/06/1990,2.71,3.98,10.67
31/07/1990,2.62,3.91,11.83
31/08/1990,3.03,4.09,12.58
28/09/1990,3.45,4.19,17.55
31/10/1990,3.62,4.55,9.88
30/11/1990,3.73,4.44,8.79
31/12/1990,3.56,4.27,9.3
31/01/1991,3.19,4.34,7.62
28/02/1991,3,4.12,6.06
