date,GE AEROSPACE,CHEVRON,JP MORGAN
31/01/1973,94.75,111.08,92.56
28/02/1973,91,95.98,94.19
30/03/1973,87.77,106.21,90.77
30/04/1973,80.62,107.94,87
31/05/1973,80.96,95.55,82.75
29/06/1973,78.52,97.77,83.18
31/07/1973,85.88,91.9,89.65
31/08/1973,80.92,83.73,79.1
28/09/1973,86.8,88.86,94.29
31/10/1973,90.07,88.86,91.12
30/11/1973,87.52,74.23,82.1
31/12/1973,87.35,90.37,82.33
31/01/1974,83.02,80.69,89.77
28/02/1974,79.07,74.67,92.25
29/03/1974,75.75,76.63,88.67
30/04/1974,71.21,75.32,80.61
31/05/1974,67.37,71.27,73.56
28/06/1974,69.32,71.27,66.74
31/07/1974,60.53,68.61,68.8
30/08/1974,53.31,66.53,59.56
30/09/1974,44.51,59.74,59.94
31/10/1974,54.48,67.89,73.61
29/11/1974,52.87,58.51,72.3
31/12/1974,48.08,61.63,62.68
31/01/1975,55.64,72.02,81.78
28/02/1975,64.14,71.63,78.01
31/03/1975,66.86,68.46,78.72
30/04/1975,66.86,70.22,79.82
30/05/1975,65.95,85.47,78.17
30/06/1975,77.14,91.22,91.78
31/07/1975,69.26,87.63,88.15
29/08/1975,67.79,86.89,74.43
30/09/1975,65.1,85.8,67.72
31/10/1975,71.21,87.26,64.3
28/11/1975,71.39,85.45,70.3
31/12/1975,68.82,87.3,71.01
30/01/1976,83.55,93.62,83.93
27/02/1976,79.63,90.57,82.17
31/03/1976,78.93,102.65,90.53
30/04/1976,80.81,109.44,86.33
31/05/1976,76.48,113.75,89.33
30/06/1976,86.53,116.43,99.6
30/07/1976,82.55,116.05,101.13
31/08/1976,80.28,116.57,100.82
30/09/1976,82.66,116.57,97.58
29/10/1976,81.52,114.63,95.41
30/11/1976,77.32,114.51,92.61
31/12/1976,85.68,129.51,108.54
31/01/1977,81.44,135.04,108.85
28/02/1977,77.78,128.39,103.47
31/03/1977,76.34,125.19,103.98
29/04/1977,83.72,129.59,110.1
31/05/1977,84.3,135.94,114.6
30/06/1977,88.69,135.54,120.42
29/07/1977,85.35,140.41,119.12
31/08/1977,83.78,132.47,112.9
30/09/1977,81.29,137.41,115.59
31/10/1977,79.5,127.53,105.59
30/11/1977,80.38,133.72,118.92
30/12/1977,79.98,129.96,115.2
31/01/1978,73.36,122.86,105.71
28/02/1978,71.76,128.21,101.98
31/03/1978,75.69,131.18,106.1
28/04/1978,84.82,147.31,118.89
31/05/1978,85.83,144.34,113.71
30/06/1978,82.99,137.44,109.77
31/07/1978,88.12,144.77,115.4
31/08/1978,89.15,154.04,113.29
29/09/1978,87.93,164.11,119.63
31/10/1978,78.99,152.29,111.03
30/11/1978,79.45,161.64,106.02
29/12/1978,79.45,166.52,109.33
31/01/1979,81.34,167.85,112.62
28/02/1979,78.65,160.91,108.23
30/03/1979,82.07,171.73,111.2
30/04/1979,83.99,177.59,114.19
31/05/1979,85.19,165.05,114.19
29/06/1979,86.7,177.39,122.64
31/07/1979,89.74,189.28,130.64
31/08/1979,92.34,207.2,129.11
28/09/1979,89.22,213.22,121.85
31/10/1979,85.04,202.1,111.38
30/11/1979,82.32,212.99,109.82
31/12/1979,90.35,212.05,116.26
31/01/1980,98.16,234.14,122.21
29/02/1980,90.93,302.79,119.44
31/03/1980,87.09,249.47,113.46
30/04/1980,85.95,269.47,118.75
30/05/1980,90.93,282.19,127.29
30/06/1980,94.6,295.22,132.96
31/07/1980,103.33,287.5,139.2
29/08/1980,100.12,286.71,136.29
30/09/1980,98.04,295.99,134.47
31/10/1980,100.84,333.6,139.56
28/11/1980,115.28,454.68,133.62
31/12/1980,115.54,393.4,147.91
30/01/1981,115.54,360.78,159.19
27/02/1981,125.92,364.32,175.23
31/03/1981,127.84,326.05,187.89
30/04/1981,125.21,329.03,192.75
29/05/1981,125.45,303.84,203.36
30/06/1981,119.5,301.83,207.74
31/07/1981,117.81,342.08,192.45
31/08/1981,107.91,341.8,185.71
30/09/1981,107.55,312.22,181.24
30/10/1981,106.32,353.84,205.1
30/11/1981,118.33,372.47,204.18
31/12/1981,113.96,354.88,203.61
29/01/1982,124.13,302.11,187.27
26/02/1982,124.88,267.37,206.41
31/03/1982,127.52,257.89,192.44
30/04/1982,129.03,251.58,196.49
31/05/1982,124.5,284.39,182.91
30/06/1982,129.81,246.83,179.77
30/07/1982,134.15,216.78,162.23
31/08/1982,153.53,243.93,185.62
30/09/1982,154.21,251.62,216.14
29/10/1982,177.16,271.18,244.56
30/11/1982,192.59,272.3,252.04
31/12/1982,197.53,286.87,246.45
31/01/1983,215.49,296.96,264.7
28/02/1983,225.9,328.49,271.55
31/03/1983,220.33,350.16,297.73
29/04/1983,234.76,371.83,340.27
31/05/1983,216.92,341.62,324.8
30/06/1983,232.83,363.62,298.53
29/07/1983,211.13,333.51,299.32
31/08/1983,216.42,347.31,296.18
30/09/1983,225.33,335.54,264.72
31/10/1983,221.06,332,259.92
30/11/1983,246.15,331.63,299.91
30/12/1983,252.61,331.63,286.58
31/01/1984,234.3,350.78,328.92
29/02/1984,224.07,360.45,314.26
30/03/1984,238.73,364.1,301.16
30/04/1984,241.45,386.02,314.85
31/05/1984,231.12,368.64,240.18
29/06/1984,230.55,346.37,244.64
31/07/1984,230.55,311.73,270.12
31/08/1984,248.66,365.26,280.31
28/09/1984,247.01,366.52,317.56
31/10/1984,254.77,330,312.35
30/11/1984,247.79,339.82,334.48
31/12/1984,253.38,320.58,365.61
31/01/1985,285.83,351.36,397.4
28/02/1985,287.17,361.52,417.27
29/03/1985,266.86,364.13,403.86
30/04/1985,266.86,387.63,407.9
31/05/1985,276.11,379.38,445.59
28/06/1985,281.8,396.63,451.05
31/07/1985,292.05,390,446.95
30/08/1985,277.82,405.73,437.38
30/09/1985,264.37,398.99,372.13
31/10/1985,264.95,421.91,431.84
29/11/1985,301.73,419.01,461
31/12/1985,337.5,417.64,511.14
31/01/1986,328.8,399.84,498.47
28/02/1986,362.22,409.38,540.71
31/03/1986,366.9,406.6,623.34
30/04/1986,365.14,428.88,607.65
30/05/1986,372.74,452.33,609.08
30/06/1986,381.32,433.96,592.34
31/07/1986,343.66,408.51,507.1
29/08/1986,370.14,508.14,563.44
30/09/1986,341.09,505.27,508.42
31/10/1986,361.85,512.45,514.28
28/11/1986,393.89,551.53,521.61
31/12/1986,411.15,528.25,502.33
30/01/1987,479.28,617.01,557.32
27/02/1987,494.22,582.61,552.86
31/03/1987,504.44,660.59,527.85
30/04/1987,497.82,682.66,512.77
29/05/1987,500.23,694.24,506.74
30/06/1987,526.27,737.35,514.48
31/07/1987,573.46,719.51,486.92
31/08/1987,604.91,702.65,494.58
30/09/1987,598.4,647.1,475.29
30/10/1987,460.96,533,336.6
30/11/1987,412.31,444.54,321.02
31/12/1987,432.92,482.6,274.02
29/01/1988,442.73,546.54,275.63
29/02/1988,446.41,546.2,320.5
31/03/1988,399.2,573.97,281.79
29/04/1988,399.2,594.03,324.63
31/05/1988,415.27,616.24,380.66
30/06/1988,437.4,567.75,412.92
29/07/1988,426.18,606.85,423.03
31/08/1988,402.51,564.46,431.46
30/09/1988,435.93,553.36,440.74
31/10/1988,438.45,594.59,439.02
30/11/1988,452.26,588.52,459.68
30/12/1988,453.96,588.52,435.8
31/01/1989,490.73,647.37,456.88
28/02/1989,464.1,632.69,439.31
31/03/1989,455.53,688.14,519.03
28/04/1989,500.32,707.7,517.23
31/05/1989,559.18,730.31,508.25
30/06/1989,532.41,713.79,525.14
31/07/1989,603.31,720.4,569.05
31/08/1989,594.29,753.17,558.08
29/09/1989,586.99,816.77,609.29
31/10/1989,575.3,923.22,501.22
30/11/1989,644.13,928.29,473.27
29/12/1989,675.09,916.46,454.71
31/01/1990,651.54,904.62,391.93
28/02/1990,651.23,917.36,390.02
30/03/1990,677.59,922.49,364.99
30/04/1990,674.96,900.28,364.99
31/05/1990,731.33,966.88,427.45
29/06/1990,735.31,972.06,398.18
31/07/1990,760.53,1107.08,359.14
31/08/1990,658.33,1058.26,337.67
28/09/1990,583.62,1032.11,242.03
31/10/1990,556.85,950.17,158.1
30/11/1990,586.3,985.54,177.62
31/12/1990,620.17,1024.33,171.12
31/01/1991,691.78,1006.7,208.92
28/02/1991,740.53,1073.23,262.65
29/03/1991,758.23,1098.19,280.44
30/04/1991,770.48,1115.31,330.88
31/05/1991,846.82,1064.86,345
28/06/1991,811.19,1014.41,348.75
31/07/1991,802.97,1039.63,418.1
30/08/1991,820.79,1046.14,432.37
30/09/1991,766.08,1071.65,417.92
31/10/1991,761.93,1089.88,407.63
29/11/1991,715,984.18,347.93
31/12/1991,851.94,1017.35,350.81
31/01/1992,838.02,938.1,462.24
28/02/1992,875.61,920.56,555.11
31/03/1992,849.5,956.04,545.61
30/04/1992,859.31,1041.93,585.18
29/05/1992,856.51,1079.07,608.09
30/06/1992,878.28,1012.93,623.53
31/07/1992,864.16,1079.07,585.74
31/08/1992,835.92,1124,545.85
30/09/1992,890.57,1133.56,552.99
30/10/1992,873.5,1085.77,582.65
30/11/1992,947.48,1064.07,635.62
31/12/1992,980.55,1075.68,659.76
29/01/1993,987.72,1125.98,693.92
26/02/1993,964.78,1205.68,691.79
31/03/1993,1029.65,1301.59,695.29
30/04/1993,1046.97,1348.56,658.69
31/05/1993,1071.52,1393.86,660.85
30/06/1993,1113.6,1387.93,709.58
30/07/1993,1145.58,1397.81,716.09
31/08/1993,1142.67,1487.76,705.24
30/09/1993,1122.27,1561.65,786.92
29/10/1993,1135.44,1549.66,701.67
30/11/1993,1151.54,1400.76,673.25
31/12/1993,1235.95,1404.79,708.32
31/01/1994,1269.83,1505.56,697.28
28/02/1994,1241.85,1410.68,657.56
31/03/1994,1186.52,1367.93,648.99
29/04/1994,1130.16,1449.35,620
31/05/1994,1180.59,1431.85,684.67
30/06/1994,1114.86,1378.36,693.71
29/07/1994,1204.53,1460.65,691.45
31/08/1994,1189.59,1409.91,698.21
30/09/1994,1159.14,1384.95,638.57
31/10/1994,1177.21,1497.24,693.3
30/11/1994,1107.96,1466.88,663.66
30/12/1994,1238.51,1500.51,662.56
31/01/1995,1250.66,1500.51,720.28
28/02/1995,1329.58,1617.62,741.05
31/03/1995,1321.3,1630.35,705.32
28/04/1995,1370.24,1609.13,780.05
31/05/1995,1419.18,1684.77,861.79
30/06/1995,1389.45,1590.46,882.81
31/07/1995,1454.14,1693.34,974.82
31/08/1995,1451.06,1676.37,1099.92
29/09/1995,1581.36,1689.37,1149.48
31/10/1995,1568.96,1620.06,1082.51
30/11/1995,1665.08,1728.76,1141.99
29/12/1995,1797.46,1833.8,1118.2
31/01/1996,1916.04,1816.29,1286.07
29/02/1996,1884.83,1964.94,1374.85
29/03/1996,1955.61,1982.6,1353.25
30/04/1996,1939.91,2048.84,1334.45
31/05/1996,2078.03,2128.47,1353.79
28/06/1996,2178.48,2101.75,1365.88
31/07/1996,2076.36,2061.67,1354.7
30/08/1996,2098.45,2116.74,1449.73
30/09/1996,2308.94,2251.56,1561.81
31/10/1996,2454.84,2363.92,1683.04
29/11/1996,2638.79,2428.75,1854.78
31/12/1996,2521.48,2356.25,1754.19
31/01/1997,2639.43,2406.1,1827.08
28/02/1997,2623.49,2356.7,1977.69
31/03/1997,2544.03,2543.95,1854.24
30/04/1997,2845.21,2502.85,1831.89
30/05/1997,3095.13,2578.77,1879.11
30/06/1997,3332.23,2723.83,1930.07
31/07/1997,3608.8,2910.33,2272.24
29/08/1997,3219.61,2874.08,2224.72
30/09/1997,3515.99,3082.85,2361.02
31/10/1997,3338.41,3078.21,2321.64
28/11/1997,3816.25,2997.05,2187.15
31/12/1997,3806.12,2877.92,2202.23
30/01/1998,4020.09,2793.83,2167.8
27/02/1998,4033.06,3046.17,2509.09
31/03/1998,4488.29,3024.98,2727.77
30/04/1998,4436.21,3114.43,2816.83
29/05/1998,4341.83,3030.69,2763.46
30/06/1998,4732.4,3177.72,3069.67
31/07/1998,4672.75,3135.04,3089.41
31/08/1998,4179.68,2831.44,2144.72
30/09/1998,4171.74,3213.75,1761.73
30/10/1998,4587.93,3115.78,2339.99
30/11/1998,4738.68,3221.23,2612.86
31/12/1998,5366.35,3194.75,2924.34
29/01/1999,5517.61,2869.74,3184.76
26/02/1999,5277.57,2984.57,3296.01
31/03/1999,5840.39,3445.6,3368.45
30/04/1999,5563.22,3872.66,3432.66
31/05/1999,5368.54,3614.84,3011.38
30/06/1999,5965.78,3714.98,3599.09
30/07/1999,5772.28,3565.99,3221.71
31/08/1999,5947.7,3630.81,3498.68
30/09/1999,6297.24,3490.69,3151.16
29/10/1999,7196.85,3591.48,3666.96
30/11/1999,6911.36,3506.76,3267.69
31/12/1999,8240.62,3430.05,3265.07
31/01/2000,7134.59,3311.26,3410.77
29/02/2000,7049.13,2982.07,3365.85
31/03/2000,8311.94,3690.78,3685.53
28/04/2000,8398.73,3398.81,3065.74
31/05/2000,8432.15,3717.05,3174.66
30/06/2000,8493.05,3410.44,2936.89
31/07/2000,8304.25,3176.71,3189.33
31/08/2000,9419.41,3423.72,3586.49
29/09/2000,9291.53,3454.11,2964.67
31/10/2000,8828.46,3327.49,2941.06
30/11/2000,7982.86,3343.05,2383.55
29/12/2000,7746.77,3447.68,2937.02
31/01/2001,7433.66,3400.42,3576.94
28/02/2001,7514.46,3524.08,3035.1
30/03/2001,6788.64,3612.12,2920.62
30/04/2001,7870.35,3972.51,3147.17
