date,tbill
31/01/1973,5.41
28/02/1973,5.6
30/03/1973,6.09
30/04/1973,6.26
31/05/1973,6.36
29/06/1973,7.19
31/07/1973,8.01
31/08/1973,8.67
28/09/1973,8.29
31/10/1973,7.22
30/11/1973,7.83
31/12/1973,7.45
31/01/1974,7.77
28/02/1974,7.12
29/03/1974,7.96
30/04/1974,8.33
31/05/1974,8.23
28/06/1974,7.9
31/07/1974,7.55
30/08/1974,8.96
30/09/1974,8.06
31/10/1974,7.46
29/11/1974,7.47
31/12/1974,7.15
31/01/1975,6.26
28/02/1975,5.5
31/03/1975,5.49
30/04/1975,5.61
30/05/1975,5.23
30/06/1975,5.34
31/07/1975,6.13
29/08/1975,6.44
30/09/1975,6.42
31/10/1975,5.96
28/11/1975,5.48
31/12/1975,5.44
30/01/1976,4.87
27/02/1976,4.88
31/03/1976,5
30/04/1976,4.86
31/05/1976,5.2
30/06/1976,5.41
30/07/1976,5.23
31/08/1976,5.14
30/09/1976,5.08
29/10/1976,4.92
30/11/1976,4.35
31/12/1976,4.35
31/01/1977,4.62
28/02/1977,4.67
31/03/1977,4.53
29/04/1977,4.7
31/05/1977,5.01
30/06/1977,4.97
29/07/1977,5.38
31/08/1977,5.56
30/09/1977,5.89
31/10/1977,6.14
30/11/1977,6.03
30/12/1977,6.14
31/01/1978,6.39
28/02/1978,6.39
31/03/1978,6.47
28/04/1978,6.34
31/05/1978,6.64
30/06/1978,7
31/07/1978,6.71
31/08/1978,7.53
29/09/1978,7.77
31/10/1978,8.73
30/11/1978,8.99
29/12/1978,9.19
31/01/1979,9.29
28/02/1979,9.42
30/03/1979,9.41
30/04/1979,9.53
31/05/1979,9.58
29/06/1979,8.93
31/07/1979,9.15
31/08/1979,9.74
28/09/1979,10.18
31/10/1979,12.02
30/11/1979,11.85
31/12/1979,12.36
31/01/1980,11.92
29/02/1980,14.63
31/03/1980,14.35
30/04/1980,10.68
30/05/1980,7.94
30/06/1980,8.15
31/07/1980,8.4
29/08/1980,10.12
30/09/1980,11.5
31/10/1980,13.22
28/11/1980,14.65
31/12/1980,14.11
30/01/1981,14.78
