date,C,A,Y
31/03/1952,9467.821225,57778.48907,7939.927097
30/06/1952,9615.581504,58797.62455,7959.218657
30/09/1952,9619.985457,58599.27426,8071.19848
31/12/1952,9913.914281,58260.96933,8317.014808
31/03/1953,9992.908032,58305.83706,8404.83075
30/06/1953,10016.07821,58331.2112,8487.253084
30/09/1953,9946.865619,58250.61726,8429.090256
31/12/1953,9834.218655,58471.26001,8328.634811
31/03/1954,9828.429419,58911.13827,8242.540592
30/06/1954,9915.836599,59885.27947,8234.31706
30/09/1954,10003.69177,61177.76595,8262.991163
31/12/1954,10163.75384,61533.96516,8418.56414
31/03/1955,10349.01073,61995.06526,8486.172639
30/06/1955,10504.5451,63348.55311,8670.573748
30/09/1955,10586.56167,64272.6134,8809.479608
31/12/1955,10667.61673,64502.20515,8896.726135
31/03/1956,10641.29557,65691.51548,8958.747354
30/06/1956,10633.10698,65621.90955,9025.671385
30/09/1956,10607.36479,65264.11872,9013.046997
31/12/1956,10699.93507,65951.67413,9121.637355
31/03/1957,10726.6013,65560.0119,9112.774598
30/06/1957,10701.28683,66497.23971,9125.457362
30/09/1957,10737.73146,65469.80816,9112.154237
31/12/1957,10693.74085,65380.52871,9031.958401
31/03/1958,10506.6867,65539.8895,8835.25223
30/06/1958,10552.79278,66361.39332,8855.618037
30/09/1958,10681.65005,67826.55161,9056.869587
31/12/1958,10777.18312,68562.59512,9162.950452
31/03/1959,10927.28861,68509.99975,9222.669099
30/06/1959,11053.02851,69139.10352,9340.681142
30/09/1959,11120.70786,68764.40624,9258.809257
31/12/1959,11084.43706,69181.62051,9276.200268
31/03/1960,11125.18886,68968.85142,9364.434162
30/06/1960,11197.54676,68996.40249,9364.369293
30/09/1960,11097.29662,68121.53611,9325.708155
31/12/1960,11067.84665,69249.76302,9273.969645
31/03/1961,11026.46793,70561.74147,9309.952251
30/06/1961,11147.75824,71217.76531,9425.315114
30/09/1961,11155.18652,71750.6368,9506.399505
31/12/1961,11331.45003,73106.23561,9631.646156
31/03/1962,11410.66558,72957.00236,9704.73229
30/06/1962,11510.85157,69582.45997,9783.244074
30/09/1962,11558.07292,70269.05538,9789.479296
31/12/1962,11675.25053,73021.90325,9823.840703
31/03/1963,11717.65139,73624.19743,9888.397561
30/06/1963,11790.19506,74433.93188,9950.687825
30/09/1963,11904.69482,75010.33454,10019.01248
31/12/1963,11958.25042,74229.33255,10129.56614
31/03/1964,12155.16168,75019.80232,10306.59088
30/06/1964,12330.90114,76114.34338,10544.66231
30/09/1964,12512.88031,76913.14241,10654.62924
31/12/1964,12504.24835,77669.13642,10730.61549
31/03/1965,12748.73901,78431.65131,10826.83511
30/06/1965,12853.75346,77884.58204,10899.65456
30/09/1965,13031.19937,79561.95617,11189.38409
31/12/1965,13354.16922,81369.52898,11391.73645
31/03/1966,13517.70633,80653.31053,11422.84093
30/06/1966,13516.48301,80837.96521,11516.49259
30/09/1966,13629.01464,79153.05491,11676.28467
31/12/1966,13644.41178,80764.82535,11813.70818
31/03/1967,13688.98638,83203.17588,11954.1858
30/06/1967,13842.38373,83836.6049,12032.05816
30/09/1967,13874.53923,85197.49259,12116.2292
31/12/1967,13919.70436,86007.41986,12240.57748
31/03/1968,14223.21128,85481.50815,12442.69381
30/06/1968,14406.9072,88097.6562,12642.78335
30/09/1968,14637.11596,88601.94593,12665.77609
31/12/1968,14664.10974,91657.04625,12753.83095
31/03/1969,14796.16883,90998.44696,12759.6033
30/06/1969,14857.30644,89869.69779,12866.88126
30/09/1969,14887.89138,89118.49389,13116.79193
31/12/1969,14962.67791,88206.25724,13196.06909
31/03/1970,15018.14751,87638.1665,13296.06496
30/06/1970,15040.15498,85169.37948,13449.93664
30/09/1970,15119.99045,87141.70203,13545.1236
31/12/1970,15027.33153,88172.65122,13450.22461
31/03/1971,15268.2947,90729.3982,13687.37252
30/06/1971,15364.43792,91326.72654,13876.14688
30/09/1971,15439.24055,91599.35155,13895.30612
31/12/1971,15647.23998,93045.67313,14006.34994
31/03/1972,15815.59405,95200.00977,14092.83406
30/06/1972,16079.09743,96100.85354,14219.65609
30/09/1972,16284.31778,97564.68897,14349.50023
31/12/1972,16622.53403,101477.7496,14839.0583
31/03/1973,16889.73165,100476.7714,14957.88227
30/06/1973,16844.66969,99434.53308,14992.77518
30/09/1973,16861.62176,100894.5458,14972.6126
31/12/1973,16770.78197,97800.7227,15010.098
31/03/1974,16586.18277,95252.6309,14805.84164
30/06/1974,16610.27813,92382.48775,14755.04648
30/09/1974,16639.30485,88983.58386,14738.11192
31/12/1974,16354.12808,88797.95014,14664.47111
31/03/1975,16457.56264,91162.52602,14622.0956
30/06/1975,16688.11277,93911.17909,15301.52138
30/09/1975,16875.3124,91787.15948,15042.61496
31/12/1975,17013.01231,92564.93629,15134.22867
31/03/1976,17316.00135,94429.99063,15326.87181
30/06/1976,17438.6171,96390.29929,15363.7676
30/09/1976,17576.44151,96420.90282,15445.02229
